original	rewritten	date	subject
016029b655c4f48b83c3bcd2cfa1568ad9fe6233	b66d790261f09041b16e17961484829fc79d40a7	2026-09-19	test: hold the numbers to the published .tex, and skip with a reason where material is withheld
022fb11a8de567989e7c163ccb8074574899a1a7	d7b30cf11a506c33d1bd6ce7da64cb0b6d8e086e	2026-07-14	data: dev orgs seeds 1-5, seed 1 prose-realized (G1 green)
038743f5fd2b277ae6f02fadb75f533dafbbf42c	49f14a598b0417e76789e310f6d2ff3aaf54e8e3	2026-08-15	data: seed 3 screened (40/54 FAIL carried, 115 inst) + R6 contested-attribute rule; seeds 1-3 re-scored
08c78be0444f3fc40e5b8a664550dbad28160000	792d8ecf036c7dc01fcbd484e938e88e69784bea	2026-09-19	docs: status and decision log through the Zenodo publication
0b7b330edb1501a9706d603e0ddf7acf2da4bc19	422f24079d126ae6eb059155d027a8c940ea2229	2026-09-14	docs(status): refresh to the current stage, pre-release with three items left
0d3d8083a762fdfa34a8d1c803d66af54719efb0	71269c92d6654dd82367a077b0a1db1304d26f1e	2026-09-15	docs(paper): rewrite the abstract, add two tables, cut 3 pages of restatement
1097c4e78d9136053e7d5ef0a99f14f454b67af0	273ec3f6a2daf04ed4a86d6192b5dc3427e25032	2026-08-22	docs: split shared rules into AGENTS.md (codex/cursor read it too); CLAUDE.md keeps Claude-specific orchestration notes
13a9cd1736c4fac89ddd2fef21b633fd56275fc7	7cc9963fccf8a3b7e656af818db5b97ca6985365	2026-08-15	feat: judge decoy false-accept audit (2/41 as measured, 0/39 adjudicated) + typed-memory reference implementation
1594c1d38d93eaec07ae40db98b70970e464ac2c	804942aa9c91c5140a8a0f022650d0f853cf3b0e	2026-08-06	data: cross-org co-valid lineage repairs; seed-1 re-scored to 46/54
171f694bcea2037fd5ef4db13ced51d7ea71824b	351b3894586e963789cdae2623c05fe2794a65d7	2026-09-14	docs(paper): the judge defect is contained; state why it stays unfixed
1ac3bd94822d4c941b25ddec3affbd3bc51fa691	22ac824c018a3f003b6e6239573a5447b54758c1	2026-09-14	docs(readme): name the dataset location and its private status
1fee6e3dacff719b576832d5fbd74795079fb05a	ba7129d662a8ed7b21c565144716cc955b4b818b	2026-08-07	feat(spec-v0.4): commitment rule + cross-side detectors — mechanical layer
2284119b7d98e1517395853960c568c8a3f8440c	349c3885c1b622c68943b14715e7626d2a4b3512	2026-07-18	chore: repository cleanup and content-contract consolidation
236facf7b3110f32d661597dc5f26ff760e78671	683589a3125aafe75effd2976681234f71d94997	2026-07-14	chore: counterfactual realizations must match base word count
246dfadf61829360ac463653fae9abb4fa10a74e	5e127f063ccd09e59237a81c9c9c51cf360c2aa4	2026-09-14	docs(status): seed-1 stall — gpt-5.4 gone from chatgpt-account codex, API key required
255637b2ac9f667c988c7bf2c1b62f58277ec7bc	89b63a85c42146725afec5f4089131cb252c47fa	2026-09-14	docs(paper): finish section 4, so the whole draft is prose
26343f684f58f223c63624d3c6d5302484332773	00afeaed889657c191eef4244f4a2b16a833e553	2026-07-25	docs: benchmark-standards audit — nine field learnings adopted as protocol
26a96ea11f2f02edccf195784e9fa384990f5df7	3649299402ff9281a0d5b8147cf3531ace0ead3d	2026-07-25	data: harness-sensitivity study — worker pinned as (gpt-5.4, medium, codex-cli 0.144.5)
270fadefcfcd8f4993b9790b42021701ee887d2c	1b84325eacdaec23ffaaa0e4d96ba6f2eb1ac240	2026-08-15	feat(adapters): naive RAG baseline (#3) with stdlib BM25 retriever + embedding seam
278a3bfa304b60184f6cd2b1afd5becadd97a780	e480cada2868808dd94bbe890c2f6826cd1b20da	2026-09-02	fix(adapters): survive the timestamp-free frozen streams; Supermemory live-smoke fixes
27b0f2a59085d05e1e0d11579490a6653a6d09f9	4e99a234ba6a557f4022b626ae807adf8e0c4ae2	2026-09-14	docs(paper): where the judge leniency lands, and why the decoy audit missed it
28c5169f8cc0e6f4edf0bf279fb7a93a4dfc3507	27c007075850dc58765d78661247d61666f84b8e	2026-07-25	chore: G2 human-validation packets for all 5 seeds
296ac70cc9b5356a2f3cf66ff850d6cdc0e9a553	ee3b6de80963c2f1e8b8cc956177386dceaceb22	2026-08-22	feat(pilot): only-valid (371 = valid ∩ surviving), resumable sides, cost columns, twin-from-base probes; run_pilot.py cross-seed orchestrator
2b92b64e84001f058ec21cbb1a728b145994c718	8ea8d315b5462893e60252bf5417bc0167150cfa	2026-07-14	data: seed-1 base + twin event streams, lint green
